Jahr,Geschlecht,Anzahl Einwohner,Stadtbezirk mit zugeordneten Ortschaften,Familienstand,Stadtteil zus.
2023,weiblich,1899,StB 8 Plauen,ledig,83 Räcknitz/Zschertnitz
2023,männlich,1824,StB 8 Plauen,verheiratet,83 Räcknitz/Zschertnitz
2023,weiblich,1810,StB 8 Plauen,verheiratet,83 Räcknitz/Zschertnitz
2023,männlich,139,StB 8 Plauen,verwitwet,83 Räcknitz/Zschertnitz
2023,weiblich,571,StB 8 Plauen,verwitwet,83 Räcknitz/Zschertnitz
2023,männlich,277,StB 8 Plauen,geschieden,83 Räcknitz/Zschertnitz
2023,weiblich,458,StB 8 Plauen,geschieden,83 Räcknitz/Zschertnitz
2023,männlich,1544,StB 8 Plauen,ledig,84 Kleinpestitz/Mockritz
2023,weiblich,1283,StB 8 Plauen,ledig,84 Kleinpestitz/Mockritz
2023,männlich,1727,StB 8 Plauen,verheiratet,84 Kleinpestitz/Mockritz
2023,weiblich,1734,StB 8 Plauen,verheiratet,84 Kleinpestitz/Mockritz
2023,männlich,112,StB 8 Plauen,verwitwet,84 Kleinpestitz/Mockritz
2023,weiblich,431,StB 8 Plauen,verwitwet,84 Kleinpestitz/Mockritz
2023,männlich,238,StB 8 Plauen,geschieden,84 Kleinpestitz/Mockritz
2023,weiblich,357,StB 8 Plauen,geschieden,84 Kleinpestitz/Mockritz
2023,männlich,1421,StB 8 Plauen,ledig,85 Coschütz/Gittersee
2023,weiblich,1124,StB 8 Plauen,ledig,85 Coschütz/Gittersee
2023,männlich,1129,StB 8 Plauen,verheiratet,85 Coschütz/Gittersee
2023,weiblich,1130,StB 8 Plauen,verheiratet,85 Coschütz/Gittersee
2023,männlich,77,StB 8 Plauen,verwitwet,85 Coschütz/Gittersee
2023,weiblich,258,StB 8 Plauen,verwitwet,85 Coschütz/Gittersee
2023,männlich,160,StB 8 Plauen,geschieden,85 Coschütz/Gittersee
2023,weiblich,214,StB 8 Plauen,geschieden,85 Coschütz/Gittersee
2023,männlich,3362,StB 8 Plauen,ledig,86 Plauen
2023,weiblich,2750,StB 8 Plauen,ledig,86 Plauen
2023,männlich,2052,StB 8 Plauen,verheiratet,86 Plauen
2023,weiblich,2062,StB 8 Plauen,verheiratet,86 Plauen
2023,männlich,106,StB 8 Plauen,verwitwet,86 Plauen
2023,weiblich,446,StB 8 Plauen,verwitwet,86 Plauen
2023,männlich,303,StB 8 Plauen,geschieden,86 Plauen
2023,weiblich,416,StB 8 Plauen,geschieden,86 Plauen
2023,männlich,1773,StB 9 Cotta/westliche Ortschaften,ledig,90 Cossebaude/Mobschatz/Oberw.
2023,weiblich,1525,StB 9 Cotta/westliche Ortschaften,ledig,90 Cossebaude/Mobschatz/Oberw.
2023,männlich,1738,StB 9 Cotta/westliche Ortschaften,verheiratet,90 Cossebaude/Mobschatz/Oberw.
2023,weiblich,1734,StB 9 Cotta/westliche Ortschaften,verheiratet,90 Cossebaude/Mobschatz/Oberw.
2023,männlich,95,StB 9 Cotta/westliche Ortschaften,verwitwet,90 Cossebaude/Mobschatz/Oberw.
2023,weiblich,383,StB 9 Cotta/westliche Ortschaften,verwitwet,90 Cossebaude/Mobschatz/Oberw.
2023,männlich,272,StB 9 Cotta/westliche Ortschaften,geschieden,90 Cossebaude/Mobschatz/Oberw.
2023,weiblich,315,StB 9 Cotta/westliche Ortschaften,geschieden,90 Cossebaude/Mobschatz/Oberw.
2023,männlich,3490,StB 9 Cotta/westliche Ortschaften,ledig,91 Cotta
2023,weiblich,3003,StB 9 Cotta/westliche Ortschaften,ledig,91 Cotta
2023,männlich,1714,StB 9 Cotta/westliche Ortschaften,verheiratet,91 Cotta
2023,weiblich,1752,StB 9 Cotta/westliche Ortschaften,verheiratet,91 Cotta
2023,männlich,97,StB 9 Cotta/westliche Ortschaften,verwitwet,91 Cotta
2023,weiblich,394,StB 9 Cotta/westliche Ortschaften,verwitwet,91 Cotta
2023,männlich,391,StB 9 Cotta/westliche Ortschaften,geschieden,91 Cotta
2023,weiblich,587,StB 9 Cotta/westliche Ortschaften,geschieden,91 Cotta
2023,männlich,3697,StB 9 Cotta/westliche Ortschaften,ledig,92 Löbtau-Nord
2023,weiblich,3035,StB 9 Cotta/westliche Ortschaften,ledig,92 Löbtau-Nord
2023,männlich,1189,StB 9 Cotta/westliche Ortschaften,verheiratet,92 Löbtau-Nord
2023,weiblich,1196,StB 9 Cotta/westliche Ortschaften,verheiratet,92 Löbtau-Nord
2023,männlich,42,StB 9 Cotta/westliche Ortschaften,verwitwet,92 Löbtau-Nord
2023,weiblich,258,StB 9 Cotta/westliche Ortschaften,verwitwet,92 Löbtau-Nord
2023,männlich,200,StB 9 Cotta/westliche Ortschaften,geschieden,92 Löbtau-Nord
2023,weiblich,275,StB 9 Cotta/westliche Ortschaften,geschieden,92 Löbtau-Nord
2023,männlich,4380,StB 9 Cotta/westliche Ortschaften,ledig,93 Löbtau-Süd
2023,weiblich,3462,StB 9 Cotta/westliche Ortschaften,ledig,93 Löbtau-Süd
2023,männlich,1443,StB 9 Cotta/westliche Ortschaften,verheiratet,93 Löbtau-Süd
2023,weiblich,1423,StB 9 Cotta/westliche Ortschaften,verheiratet,93 Löbtau-Süd
2023,männlich,81,StB 9 Cotta/westliche Ortschaften,verwitwet,93 Löbtau-Süd
2023,weiblich,325,StB 9 Cotta/westliche Ortschaften,verwitwet,93 Löbtau-Süd
2023,männlich,291,StB 9 Cotta/westliche Ortschaften,geschieden,93 Löbtau-Süd
2023,weiblich,411,StB 9 Cotta/westliche Ortschaften,geschieden,93 Löbtau-Süd
2023,männlich,2492,StB 9 Cotta/westliche Ortschaften,ledig,94 Naußlitz
2023,weiblich,1971,StB 9 Cotta/westliche Ortschaften,ledig,94 Naußlitz
2023,männlich,2019,StB 9 Cotta/westliche Ortschaften,verheiratet,94 Naußlitz
2023,weiblich,2016,StB 9 Cotta/westliche Ortschaften,verheiratet,94 Naußlitz
2023,männlich,95,StB 9 Cotta/westliche Ortschaften,verwitwet,94 Naußlitz
2023,weiblich,361,StB 9 Cotta/westliche Ortschaften,verwitwet,94 Naußlitz
2023,männlich,285,StB 9 Cotta/westliche Ortschaften,geschieden,94 Naußlitz
2023,weiblich,392,StB 9 Cotta/westliche Ortschaften,geschieden,94 Naußlitz
2023,männlich,3181,StB 9 Cotta/westliche Ortschaften,ledig,95 Gorbitz-Süd
2023,weiblich,2185,StB 9 Cotta/westliche Ortschaften,ledig,95 Gorbitz-Süd
2023,männlich,1081,StB 9 Cotta/westliche Ortschaften,verheiratet,95 Gorbitz-Süd
2023,weiblich,1046,StB 9 Cotta/westliche Ortschaften,verheiratet,95 Gorbitz-Süd
2023,männlich,99,StB 9 Cotta/westliche Ortschaften,verwitwet,95 Gorbitz-Süd
2023,weiblich,417,StB 9 Cotta/westliche Ortschaften,verwitwet,95 Gorbitz-Süd
2023,männlich,378,StB 9 Cotta/westliche Ortschaften,geschieden,95 Gorbitz-Süd
2023,weiblich,432,StB 9 Cotta/westliche Ortschaften,geschieden,95 Gorbitz-Süd
2023,männlich,1812,StB 9 Cotta/westliche Ortschaften,ledig,96 Gorbitz-Ost
2023,weiblich,1475,StB 9 Cotta/westliche Ortschaften,ledig,96 Gorbitz-Ost
2023,männlich,967,StB 9 Cotta/westliche Ortschaften,verheiratet,96 Gorbitz-Ost
2023,weiblich,947,StB 9 Cotta/westliche Ortschaften,verheiratet,96 Gorbitz-Ost
2023,männlich,88,StB 9 Cotta/westliche Ortschaften,verwitwet,96 Gorbitz-Ost
2023,weiblich,471,StB 9 Cotta/westliche Ortschaften,verwitwet,96 Gorbitz-Ost
2023,männlich,237,StB 9 Cotta/westliche Ortschaften,geschieden,96 Gorbitz-Ost
2023,weiblich,413,StB 9 Cotta/westliche Ortschaften,geschieden,96 Gorbitz-Ost
2023,männlich,2252,StB 9 Cotta/westliche Ortschaften,ledig,97 Gorbitz-Nord/Neu-Omsewitz
2023,weiblich,1646,StB 9 Cotta/westliche Ortschaften,ledig,97 Gorbitz-Nord/Neu-Omsewitz
2023,männlich,964,StB 9 Cotta/westliche Ortschaften,verheiratet,97 Gorbitz-Nord/Neu-Omsewitz
2023,weiblich,955,StB 9 Cotta/westliche Ortschaften,verheiratet,97 Gorbitz-Nord/Neu-Omsewitz
2023,männlich,58,StB 9 Cotta/westliche Ortschaften,verwitwet,97 Gorbitz-Nord/Neu-Omsewitz
2023,weiblich,248,StB 9 Cotta/westliche Ortschaften,verwitwet,97 Gorbitz-Nord/Neu-Omsewitz
2023,männlich,271,StB 9 Cotta/westliche Ortschaften,geschieden,97 Gorbitz-Nord/Neu-Omsewitz
2023,weiblich,317,StB 9 Cotta/westliche Ortschaften,geschieden,97 Gorbitz-Nord/Neu-Omsewitz
2023,männlich,2630,StB 9 Cotta/westliche Ortschaften,ledig,98 Briesnitz
2023,weiblich,2403,StB 9 Cotta/westliche Ortschaften,ledig,98 Briesnitz
2023,männlich,2391,StB 9 Cotta/westliche Ortschaften,verheiratet,98 Briesnitz
2023,weiblich,2363,StB 9 Cotta/westliche Ortschaften,verheiratet,98 Briesnitz
2023,männlich,146,StB 9 Cotta/westliche Ortschaften,verwitwet,98 Briesnitz
2023,weiblich,511,StB 9 Cotta/westliche Ortschaften,verwitwet,98 Briesnitz
2023,männlich,364,StB 9 Cotta/westliche Ortschaften,geschieden,98 Briesnitz
2023,weiblich,434,StB 9 Cotta/westliche Ortschaften,geschieden,98 Briesnitz
2023,männlich,827,StB 9 Cotta/westliche Ortschaften,ledig,99 Altfranken/Gompitz
2023,weiblich,714,StB 9 Cotta/westliche Ortschaften,ledig,99 Altfranken/Gompitz
2023,männlich,1170,StB 9 Cotta/westliche Ortschaften,verheiratet,99 Altfranken/Gompitz
2023,weiblich,1167,StB 9 Cotta/westliche Ortschaften,verheiratet,99 Altfranken/Gompitz
2023,männlich,57,StB 9 Cotta/westliche Ortschaften,verwitwet,99 Altfranken/Gompitz
2023,weiblich,162,StB 9 Cotta/westliche Ortschaften,verwitwet,99 Altfranken/Gompitz
2023,männlich,109,StB 9 Cotta/westliche Ortschaften,geschieden,99 Altfranken/Gompitz
2023,weiblich,117,StB 9 Cotta/westliche Ortschaften,geschieden,99 Altfranken/Gompitz
